Departamento,Poblacion total,Poblacion_14-19,Numero_ninis,N° matriculados,% Necesidad_basica,Gastos_educacion,N° Delincuencia,%Embarazo_ado,Discapacidad,Tasa_Ina_Esc%
Amazonas,379384,40929,8783,143700,35.3,14171,4623,23.8,5686,73.2
Áncash,1083519,107467,16975,316700,14.9,5276,9572,13.0,5906,74.3
Apurímac,405759,43275,6349,133400,15.5,11064,1157,12.0,4772,70.3
Arequipa,1382730,130125,14256,372900,11.8,6227,20709,6.6,8382,63
Ayacucho,616176,70814,10440,204200,20.3,6677,1588,16.8,5224,76.5
Cajamarca,1341012,138929,24579,442300,21.4,7899,6333,18.5,9318,81.4
Callao,994494,92216,12712,252200,9.6,3360,12134,10.2,8349,74.9
Cusco,1205527,135663,18156,397200,18.6,6702,9420,9.2,9614,65.1
Huancavelica,347639,43546,7552,123900,20.9,7384,1,15.1,4340,75.8
Huánuco,721047,82318,15031,233600,29.1,7816,1689,16.4,5133,76.7
Ica,850765,80370,10455,248900,8.8,7633,11485,14.3,5687,62.4
Junín,1246038,137239,19594,369100,26.0,4125,7940,12.1,7169,69.3
La Libertad,1778080,176524,29331,512600,13.4,5704,17400,16.8,6762,78.6
Lambayeque,1197260,122062,20159,336200,14.2,6286,21724,11.8,4563,72.7
Lima,9485405,873457,109352,2584190,9.1,9540,145617,10.2,64699,64.7
Loreto,883510,95262,20386,375400,55.6,7200,3424,30.2,2955,82.4
Madre de Dios,141070,12740,1790,49700,22.8,9917,698,16.9,818,69.3
Moquegua,174863,15684,1365,48800,11.6,20867,1537,8.6,1650,60.2
Pasco,254065,25032,4772,80100,32.7,6164,621,12.6,3413,72.2
Piura,1856809,187212,32495,552100,27.0,5965,14385,14.6,14406,78.9
Puno,1172697,126080,22674,330300,24.2,7634,2091,11.3,8251,73.3
San Martín,813381,82579,15367,270800,34.2,8964,1217,20.0,3840,80
Tacna,329332,32221,4088,93400,8.8,9196,3243,9.0,2693,65
Tumbes,224863,21531,3533,75200,25.6,19884,3430,16.0,5260,69.7
Ucayali,496459,50203,10397,182100,42.3,9210,4953,23.1,1803,80.2